MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
Caltech-5V seed:4 {'acc': 0.8371428571428572, 'nmi': 0.751962228190043, 'pur': 0.8371428571428572}
Caltech-5V seed:5 {'acc': 0.8842857142857142, 'nmi': 0.8032899618548239, 'pur': 0.8842857142857142}
Caltech-5V seed:6 {'acc': 0.8978571428571429, 'nmi': 0.8308507744607068, 'pur': 0.8978571428571429}
Caltech-5V seed:7 {'acc': 0.8757142857142857, 'nmi': 0.7901264710909067, 'pur': 0.8757142857142857}
Caltech-5V seed:8 {'acc': 0.8578571428571429, 'nmi': 0.7802421651293182, 'pur': 0.8578571428571429}
Caltech-5V seed:9 {'acc': 0.8864285714285715, 'nmi': 0.8127691750243723, 'pur': 0.8864285714285715}
Caltech-5V seed:10 {'acc': 0.8971428571428571, 'nmi': 0.8192976010303294, 'pur': 0.8971428571428571}
MNIST-USPS seed:0 {'acc': 0.9956, 'nmi': 0.9873931865948976, 'pur': 0.9956}
MNIST-USPS seed:1 {'acc': 0.9938, 'nmi': 0.9826740830455986, 'pur': 0.9938}
MNIST-USPS seed:2 {'acc': 0.9954, 'nmi': 0.9867210693929861, 'pur': 0.9954}
MNIST-USPS seed:3 {'acc': 0.994, 'nmi': 0.983254699274238, 'pur': 0.994}
MNIST-USPS seed:4 {'acc': 0.9958, 'nmi': 0.9881927616019576, 'pur': 0.9958}
MNIST-USPS seed:5 {'acc': 0.9952, 'nmi': 0.9862621262820891, 'pur': 0.9952}
MNIST-USPS seed:6 {'acc': 0.9954, 'nmi': 0.986719940976051, 'pur': 0.9954}
MNIST-USPS seed:7 {'acc': 0.9958, 'nmi': 0.9881925868931888, 'pur': 0.9958}
MNIST-USPS seed:8 {'acc': 0.9944, 'nmi': 0.9845005335702464, 'pur': 0.9944}
MNIST-USPS seed:9 {'acc': 0.9922, 'nmi': 0.9780973670683248, 'pur': 0.9922}
MNIST-USPS seed:10 {'acc': 0.996, 'nmi': 0.9888920893019337, 'pur': 0.996}
BDGP seed:0 {'acc': 0.9936, 'nmi': 0.9799360503452945, 'pur': 0.9936}
BDGP seed:1 {'acc': 0.7184, 'nmi': 0.6619125781143271, 'pur': 0.7184}
BDGP seed:2 {'acc': 0.9924, 'nmi': 0.9739907837491356, 'pur': 0.9924}
BDGP seed:3 {'acc': 0.7756, 'nmi': 0.7408598403610615, 'pur': 0.7756}
BDGP seed:4 {'acc': 0.9916, 'nmi': 0.9723487944262247, 'pur': 0.9916}
BDGP seed:5 {'acc': 0.994, 'nmi': 0.9808535081106513, 'pur': 0.994}
BDGP seed:6 {'acc': 0.992, 'nmi': 0.9744743211539467, 'pur': 0.992}
BDGP seed:7 {'acc': 0.9928, 'nmi': 0.9766909705085908, 'pur': 0.9928}
BDGP seed:8 {'acc': 0.992, 'nmi': 0.9741392982195416, 'pur': 0.992}
BDGP seed:9 {'acc': 0.99, 'nmi': 0.9667225167221535, 'pur': 0.99}
BDGP seed:10 {'acc': 0.9928, 'nmi': 0.9771698651867436, 'pur': 0.9928}
CCV seed:0 {'acc': 0.32422855455485017, 'nmi': 0.3135444244041664, 'pur': 0.35922043407648013}
CCV seed:1 {'acc': 0.31758452679757865, 'nmi': 0.31059433049805785, 'pur': 0.3534622766868448}
CCV seed:2 {'acc': 0.3068064373246715, 'nmi': 0.3069338185657263, 'pur': 0.3496235050937546}
CCV seed:3 {'acc': 0.29248486638121957, 'nmi': 0.29500834633797407, 'pur': 0.32777203602539495}
CCV seed:4 {'acc': 0.2982430237708549, 'nmi': 0.2969752149607323, 'pur': 0.336630739701757}
CCV seed:5 {'acc': 0.28584083862394805, 'nmi': 0.30202912738936766, 'pur': 0.3392883508046656}
CCV seed:6 {'acc': 0.3084305329986712, 'nmi': 0.3093814327474403, 'pur': 0.3555293075446626}
CCV seed:7 {'acc': 0.32053742802303264, 'nmi': 0.31073110972330853, 'pur': 0.35390521187066293}
CCV seed:8 {'acc': 0.26812343127122396, 'nmi': 0.298543171508392, 'pur': 0.33175845267975784}
CCV seed:9 {'acc': 0.3076923076923077, 'nmi': 0.3153577916381094, 'pur': 0.3544957921157537}
CCV seed:10 {'acc': 0.32969142182194006, 'nmi': 0.32339217661858716, 'pur': 0.3794478074708401}
Fashion seed:0 {'acc': 0.9932, 'nmi': 0.9827194629415891, 'pur': 0.9932}
Fashion seed:1 {'acc': 0.9933, 'nmi': 0.98259130740072, 'pur': 0.9933}
Fashion seed:2 {'acc': 0.9923, 'nmi': 0.9803411598857708, 'pur': 0.9923}
Fashion seed:3 {'acc': 0.9933, 'nmi': 0.9829371983697326, 'pur': 0.9933}
Fashion seed:4 {'acc': 0.9921, 'nmi': 0.9800425125615769, 'pur': 0.9921}
