dataset,lambda1,lambda2,ACC,NMI,PUR
MNIST_USPS,0.001,100.0,0.3176,0.2825415857266833,0.329
MNIST_USPS,0.1,0.001,0.9934,0.9814005504393288,0.9934
MNIST_USPS,0.1,0.1,0.9934,0.9812270734627901,0.9934
MNIST_USPS,0.1,1.0,0.995,0.9858075290494537,0.995
MNIST_USPS,0.1,10.0,0.9966,0.9897110924297666,0.9966
MNIST_USPS,0.1,100.0,0.5142,0.5374116050797637,0.5642
MNIST_USPS,1.0,0.001,0.9932,0.9805129416283754,0.9932
MNIST_USPS,1.0,0.1,0.993,0.9799022203867868,0.993
MNIST_USPS,1.0,1.0,0.9958,0.9881927616019576,0.9958
MNIST_USPS,1.0,10.0,0.9968,0.9908189483766673,0.9968
MNIST_USPS,1.0,100.0,0.8668,0.9272034063040248,0.8918
BDGP,0.001,0.001,0.714,0.6498249603305775,0.714
BDGP,0.001,0.1,0.9912,0.9709062571856331,0.9912
BDGP,0.001,1.0,0.9892,0.9624639010177996,0.9892
BDGP,0.001,10.0,0.6268,0.3787823272647679,0.6268
BDGP,0.001,100.0,0.5516,0.2855422659684997,0.5516
BDGP,0.1,0.001,0.9924,0.9753694379630155,0.9924
BDGP,0.1,0.1,0.992,0.973583879329411,0.992
BDGP,0.1,1.0,0.9928,0.9762906738892729,0.9928
BDGP,0.1,10.0,0.8432,0.6929645254414863,0.8432
BDGP,0.1,100.0,0.4936,0.25696704936404047,0.5072
BDGP,1.0,0.001,0.992,0.9741392982195415,0.992
BDGP,1.0,0.1,0.9924,0.9749018527665925,0.9924
BDGP,1.0,1.0,0.9936,0.9799360503452945,0.9936
BDGP,1.0,10.0,0.9932,0.9760557527619453,0.9932
BDGP,1.0,100.0,0.6672,0.5254622449498424,0.6672
Caltech_2V,0.001,0.001,0.4407142857142857,0.32734773146727186,0.46285714285714286
Caltech_2V,0.001,0.1,0.5707142857142857,0.46226916056875167,0.5742857142857143
Caltech_2V,0.001,1.0,0.42714285714285716,0.30635243977591375,0.4657142857142857
Caltech_2V,0.001,10.0,0.3892857142857143,0.2515730997902639,0.4164285714285714
Caltech_2V,0.001,100.0,0.42428571428571427,0.26723478686001884,0.44857142857142857
Caltech_2V,0.1,0.001,0.48928571428571427,0.4884608753409924,0.54
Caltech_2V,0.1,0.1,0.545,0.49241336173727634,0.5757142857142857
Caltech_2V,0.1,1.0,0.5871428571428572,0.4686633643461973,0.6078571428571429
Caltech_2V,0.1,10.0,0.5171428571428571,0.4026161754551991,0.5228571428571429
Caltech_2V,0.1,100.0,0.44857142857142857,0.28878929049491225,0.4764285714285714
Caltech_2V,1.0,0.001,0.6257142857142857,0.5229016730520694,0.6257142857142857
Caltech_2V,1.0,0.1,0.5642857142857143,0.5056225239676253,0.585
Caltech_2V,1.0,1.0,0.5871428571428572,0.5027600269417887,0.6085714285714285
Caltech_2V,1.0,10.0,0.62,0.5404571105561498,0.6342857142857142
Caltech_2V,1.0,100.0,0.5157142857142857,0.45515256004248,0.5335714285714286
Fashion,0.1,0.1,0.5639,0.5875186576498114,0.5931
Caltech_2V,0.1,0.1,0.32142857142857145,0.2389210779249143,0.3264285714285714
Caltech_2V,0.1,0.1,0.3985714285714286,0.31207136738794267,0.4257142857142857
Caltech_2V,0.1,0.1,0.4942857142857143,0.4101176792333837,0.495
Caltech_2V,0.1,0.1,0.49785714285714283,0.46596727219051315,0.5507142857142857
Caltech_2V,0.1,0.1,0.3985714285714286,0.31207136738794267,0.4257142857142857
Caltech_2V,0.1,0.1,0.3985714285714286,0.31207136738794267,0.4257142857142857
Caltech_2V,0.1,0.1,0.5971428571428572,0.4783268969600311,0.5971428571428572
Caltech_2V,0.1,0.1,0.49785714285714283,0.46596727219051315,0.5507142857142857
Caltech_2V,0.1,0.1,0.5914285714285714,0.5320075161222161,0.6078571428571429
Caltech_2V,0.1,0.1,0.5971428571428572,0.4783268969600311,0.5971428571428572
Caltech_3V,0.1,0.1,0.6471428571428571,0.571842400864703,0.6678571428571428
